item,length,width,height,x,y,z
item0,50,25,1486,180,1110,0
item1,68,1167,1306,730,0,180
item2,10,565,60,190,150,0
item3,350,390,1486,130,720,0
item4,10,485,60,500,110,0
item5,80,15,1486,0,1140,0
item6,30,32,10,130,1140,100
item7,75,80,290,0,990,0
item8,270,720,5,130,0,70
item9,30,150,1196,50,990,290
item10,120,120,40,500,600,20
item11,85,720,60,270,0,0
item12,40,570,40,620,150,60
item13,40,720,60,230,0,0
item14,10,190,60,150,530,0
item15,20,32,5,160,1140,100
item16,50,20,1486,180,1140,0
item17,50,32,100,130,1140,0
item18,180,30,30,480,120,60
item19,138,1172,180,660,0,0
item20,175,150,10,480,0,90
item21,60,720,10,130,0,170
item22,80,720,20,400,0,60
item23,50,12,1486,180,1160,0
item24,20,10,25,210,0,0
item25,80,10,290,0,1130,0
item26,10,400,1486,90,290,0
item27,20,10,110,130,1110,0
item28,345,720,20,130,0,80
item29,20,260,15,130,0,40
item30,20,720,25,210,0,30
item31,80,985,1486,0,0,0
item32,5,430,60,200,0,0
item33,20,490,55,510,110,0
item34,120,110,60,500,0,0
item35,10,350,20,650,0,40
item36,20,210,40,130,510,20
item37,80,60,285,0,1070,0
item38,20,482,316,80,690,1170
item39,10,812,556,120,360,930
item40,20,370,30,210,10,0
item41,60,720,50,130,0,120
item42,20,40,10,80,250,0
item43,10,150,60,190,0,0
item44,10,720,60,170,0,0
item45,530,720,15,130,0,100
item46,465,350,60,190,370,120
item47,90,490,60,530,110,0
item48,180,390,1486,480,720,0
item49,30,20,110,130,1120,0
item50,180,10,30,480,110,60
item51,10,57,480,230,1110,0
item52,10,62,1006,230,1110,480
item53,270,715,10,130,0,60
item54,20,482,1170,80,690,0
item55,65,720,426,430,0,1060
item56,10,720,60,180,0,0
item57,15,260,20,130,0,20
item58,10,390,50,150,140,0
item59,140,570,40,480,150,60
item60,50,5,1196,0,1130,290
item61,20,1167,930,100,0,0
item62,15,70,20,80,180,0
item63,15,20,110,160,1110,0
item64,470,365,60,190,0,120
item65,120,720,426,310,0,1060
item66,70,1172,1306,660,0,180
item67,10,290,55,200,430,0
item68,20,250,40,130,260,20
item69,10,10,110,150,1110,0
item70,140,720,25,360,0,30
item71,10,120,20,500,600,0
item72,30,720,60,620,0,0
item73,140,715,30,360,0,0
item74,10,715,40,650,0,0
item75,5,360,556,120,0,930
item76,10,390,10,150,140,50
item77,370,715,880,130,0,180
item78,20,180,15,80,0,0
item79,20,290,506,80,0,980
item80,10,720,60,160,0,0
item81,20,40,10,80,250,10
item82,10,1172,930,120,0,0
item83,180,105,30,480,0,60
item84,10,370,20,650,350,40
item85,20,290,860,80,0,20
item86,180,720,426,130,0,1060
item87,20,290,95,80,0,880
item88,20,335,30,210,380,0
item89,80,12,1486,0,1160,0
item90,160,720,1301,500,0,180
item91,420,62,1486,240,1110,0
item92,50,62,1376,130,1110,110
item93,20,10,110,160,1130,0
item94,15,720,20,130,0,0
item95,20,1167,556,100,0,930
item96,5,400,1486,80,290,0
item97,110,120,15,510,600,0
item98,10,140,60,150,0,0
item99,50,140,1191,0,990,290
